"11101","*****Dummy_Data_For_11101*****","309","-","17.50"
"11102","*****Dummy_Data_For_11102*****","37","-","17.50"
"11103","*****Dummy_Data_For_11103*****","331","-","16.50"
"11104","*****Dummy_Data_For_11104*****","378","-","16.50"
"11105","*****Dummy_Data_For_11105*****","835","-","17.00"
"11106","*****Dummy_Data_For_11106*****","879","-","16.50"
"11107","*****Dummy_Data_For_11107*****","226","-","16.50"
"11108","*****Dummy_Data_For_11108*****","660","-","16.50"
"11109","*****Dummy_Data_For_11109*****","34","-","16.50"
"11110","*****Dummy_Data_For_11110*****","828","-","16.50"
"11201","*****Dummy_Data_For_11201*****","351","-","24.00"
"11202","*****Dummy_Data_For_11202*****","720","-","23.00"
"11203","*****Dummy_Data_For_11203*****","421","-","23.00"
"11204","*****Dummy_Data_For_11204*****","921","-","24.00"
"11205","*****Dummy_Data_For_11205*****","901","-","25.00"
"11206","*****Dummy_Data_For_11206*****","480","-","22.50"
"11207","*****Dummy_Data_For_11207*****","581","-","24.00"
"11208","*****Dummy_Data_For_11208*****","758","-","24.00"
"11209","*****Dummy_Data_For_11209*****","127","-","24.00"
"11210","*****Dummy_Data_For_11210*****","369","-","23.00"
"12101","*****Dummy_Data_For_12101*****","942","2022-01-31","18.00"
"12102","*****Dummy_Data_For_12102*****","446","2022-02-25","17.00"
"12103","*****Dummy_Data_For_12103*****","141","2022-03-30","13.00"
"12104","*****Dummy_Data_For_12104*****","983","2022-04-10","16.00"
"12105","*****Dummy_Data_For_12105*****","657","2022-05-12","19.00"
"12106","*****Dummy_Data_For_12106*****","336","2022-06-22","14.50"
"12107","*****Dummy_Data_For_12107*****","441","2022-07-30","17.00"
"12108","*****Dummy_Data_For_12108*****","361","2022-08-31","15.50"
"12109","*****Dummy_Data_For_12109*****","50","2022-09-30","15.50"
"12110","*****Dummy_Data_For_12110*****","673","2022-10-10","14.50"
"12111","*****Dummy_Data_For_12111*****","725","2022-11-11","16.00"
"12112","*****Dummy_Data_For_12112*****","652","2022-12-25","13.50"
"12113","*****Dummy_Data_For_12113*****","128","2022-01-31","18.00"
"12114","*****Dummy_Data_For_12114*****","533","2022-02-25","13.00"
"12115","*****Dummy_Data_For_12115*****","437","2022-03-30","14.00"
"12116","*****Dummy_Data_For_12116*****","822","2022-04-10","13.50"
"12117","*****Dummy_Data_For_12117*****","380","2022-05-12","14.50"
"12118","*****Dummy_Data_For_12118*****","465","2022-06-22","19.00"
"12119","*****Dummy_Data_For_12119*****","701","2022-07-30","17.00"
"12120","*****Dummy_Data_For_12120*****","407","2022-08-31","15.50"
"12201","*****Dummy_Data_For_12201*****","267","2022-09-30","29.50"
"12202","*****Dummy_Data_For_12202*****","598","2022-10-10","29.00"
"12203","*****Dummy_Data_For_12203*****","458","2022-11-11","37.00"
"12204","*****Dummy_Data_For_12204*****","326","2022-12-25","36.00"
"12205","*****Dummy_Data_For_12205*****","175","2022-01-31","30.00"
"12206","*****Dummy_Data_For_12206*****","751","2022-02-25","30.50"
"12207","*****Dummy_Data_For_12207*****","741","2022-03-30","34.00"
"12208","*****Dummy_Data_For_12208*****","246","2022-04-10","31.00"
"12209","*****Dummy_Data_For_12209*****","232","2022-05-12","29.50"
"12210","*****Dummy_Data_For_12210*****","392","2022-06-22","36.50"
"13101","*****Dummy_Data_For_13101*****","447","2022-07-30","30.50"
"13102","*****Dummy_Data_For_13102*****","297","2022-08-31","30.50"
"13103","*****Dummy_Data_For_13103*****","607","2022-09-30","30.00"
"13104","*****Dummy_Data_For_13104*****","796","2022-10-10","26.00"
"13105","*****Dummy_Data_For_13105*****","726","2022-11-11","30.50"
"13201","*****Dummy_Data_For_13201*****","811","2022-12-25","35.00"
"13202","*****Dummy_Data_For_13202*****","704","2022-01-31","40.00"
"13203","*****Dummy_Data_For_13203*****","226","2022-02-25","40.00"
"13204","*****Dummy_Data_For_13204*****","501","2022-03-30","31.50"
"13205","*****Dummy_Data_For_13205*****","742","2022-04-10","38.00"
"13206","*****Dummy_Data_For_13206*****","117","2022-05-12","33.50"
"13207","*****Dummy_Data_For_13207*****","192","2022-06-22","32.50"
"13208","*****Dummy_Data_For_13208*****","678","2022-07-30","32.50"
"13209","*****Dummy_Data_For_13209*****","690","2022-08-31","34.50"
"13210","*****Dummy_Data_For_13210*****","311","2022-09-30","36.50"
"13211","*****Dummy_Data_For_13211*****","579","2022-10-10","40.00"
"13212","*****Dummy_Data_For_13212*****","947","2022-11-11","36.50"
"13213","*****Dummy_Data_For_13213*****","187","2022-12-25","36.00"
"13214","*****Dummy_Data_For_13214*****","940","2022-01-31","39.50"
"13215","*****Dummy_Data_For_13215*****","764","2022-02-25","36.00"
"14101","*****Dummy_Data_For_14101*****","750","2022-03-30","34.50"
"14102","*****Dummy_Data_For_14102*****","717","2022-04-10","33.50"
"14103","*****Dummy_Data_For_14103*****","288","2022-05-12","37.00"
"14104","*****Dummy_Data_For_14104*****","442","2022-06-22","32.00"
"14105","*****Dummy_Data_For_14105*****","519","2022-07-30","33.50"
"14106","*****Dummy_Data_For_14106*****","690","2022-08-31","34.50"
"14107","*****Dummy_Data_For_14107*****","645","2022-09-30","36.00"
"14108","*****Dummy_Data_For_14108*****","213","2022-10-10","32.50"
"14109","*****Dummy_Data_For_14109*****","873","2022-11-11","32.50"
"14110","*****Dummy_Data_For_14110*****","8","2022-12-25","34.00"
"14201","*****Dummy_Data_For_14201*****","610","2022-01-31","40.50"
"14202","*****Dummy_Data_For_14202*****","403","2022-02-25","43.00"
"14203","*****Dummy_Data_For_14203*****","98","2022-03-30","38.50"
"14204","*****Dummy_Data_For_14204*****","941","2022-04-10","40.00"
"14205","*****Dummy_Data_For_14205*****","916","2022-05-12","41.00"
"14206","*****Dummy_Data_For_14206*****","30","2022-06-22","42.00"
"14207","*****Dummy_Data_For_14207*****","462","2022-07-30","38.50"
"14208","*****Dummy_Data_For_14208*****","625","2022-08-31","39.00"
"14209","*****Dummy_Data_For_14209*****","261","2022-09-30","39.00"
"14210","*****Dummy_Data_For_14210*****","327","2022-10-10","38.50"
"15101","*****Dummy_Data_For_15101*****","682","2022-11-11","29.50"
"15102","*****Dummy_Data_For_15102*****","154","2022-12-25","29.00"
"15103","*****Dummy_Data_For_15103*****","656","2022-01-31","26.00"
"15104","*****Dummy_Data_For_15104*****","613","2022-02-25","37.50"
"15105","*****Dummy_Data_For_15105*****","157","2022-03-30","34.50"
"15106","*****Dummy_Data_For_15106*****","449","2022-04-10","36.50"
"15107","*****Dummy_Data_For_15107*****","118","2022-05-12","28.50"
"15108","*****Dummy_Data_For_15108*****","269","2022-06-22","36.00"
"15109","*****Dummy_Data_For_15109*****","730","2022-07-30","34.00"
"15110","*****Dummy_Data_For_15110*****","492","2022-08-31","34.50"
"21111","*****Dummy_Data_For_21111*****","675","2022-09-30","49.00"
"21112","*****Dummy_Data_For_21112*****","332","2022-10-10","35.00"
"21113","*****Dummy_Data_For_21113*****","974","2022-11-11","35.50"
"21114","*****Dummy_Data_For_21114*****","512","2022-12-25","35.50"
"21115","*****Dummy_Data_For_21115*****","203","2022-01-31","49.00"
"21116","*****Dummy_Data_For_21116*****","741","2022-02-25","31.00"
"21117","*****Dummy_Data_For_21117*****","808","2022-03-30","48.00"
"21118","*****Dummy_Data_For_21118*****","888","2022-04-10","31.00"
"21119","*****Dummy_Data_For_21119*****","723","2022-05-12","29.00"
"21120","*****Dummy_Data_For_21120*****","731","2022-06-22","25.00"
"21121","*****Dummy_Data_For_21121*****","751","2022-07-30","36.00"
"21122","*****Dummy_Data_For_21122*****","717","2022-08-31","26.00"
"21123","*****Dummy_Data_For_21123*****","330","2022-09-30","47.00"
"21124","*****Dummy_Data_For_21124*****","458","2022-10-10","46.00"
"21125","*****Dummy_Data_For_21125*****","713","2022-11-11","34.50"
"21126","*****Dummy_Data_For_21126*****","346","2022-12-25","43.00"
"21127","*****Dummy_Data_For_21127*****","130","2022-01-31","27.00"
"21128","*****Dummy_Data_For_21128*****","787","2022-02-25","39.50"
"21129","*****Dummy_Data_For_21129*****","563","2022-03-30","41.50"
"21130","*****Dummy_Data_For_21130*****","431","2022-04-10","26.50"
"21131","*****Dummy_Data_For_21131*****","412","2022-05-12","31.00"
"21132","*****Dummy_Data_For_21132*****","286","2022-06-22","50.00"
"21133","*****Dummy_Data_For_21133*****","95","2022-07-30","30.00"
"21134","*****Dummy_Data_For_21134*****","995","2022-08-31","49.50"
"21135","*****Dummy_Data_For_21135*****","993","2022-09-30","29.00"
"21201","*****Dummy_Data_For_21201*****","543","2022-10-10","53.50"
"21202","*****Dummy_Data_For_21202*****","209","2022-11-11","55.50"
"21203","*****Dummy_Data_For_21203*****","428","2022-12-25","53.00"
"21204","*****Dummy_Data_For_21204*****","70","2022-01-31","53.00"
"21205","*****Dummy_Data_For_21205*****","234","2022-02-25","52.50"
"21206","*****Dummy_Data_For_21206*****","602","2022-03-30","51.00"
"21207","*****Dummy_Data_For_21207*****","867","2022-04-10","50.50"
"21208","*****Dummy_Data_For_21208*****","525","2022-05-12","54.50"
"21209","*****Dummy_Data_For_21209*****","129","2022-06-22","52.00"
"21210","*****Dummy_Data_For_21210*****","976","2022-07-30","50.00"
"21211","*****Dummy_Data_For_21211*****","858","2022-08-31","56.50"
"21212","*****Dummy_Data_For_21212*****","314","2022-09-30","56.00"
"21213","*****Dummy_Data_For_21213*****","351","2022-10-10","60.00"
"21214","*****Dummy_Data_For_21214*****","345","2022-11-11","60.00"
